"table_schema","table_name","columns"
"no_backup","tb_invoice_agribank","invoice_agribankid, invoiceid, invoice_transactionid, invoicemedicineid, token_code, order_code, payment_method_code, amount, ngayphathanh, nguoiphathanh, ngaythanhtoan, qrcode, createorder_input, createorder_output, checkorder_output, message, version"
"no_backup","tb_invoice_bidv","invoice_bidvid, invoiceid, invoice_bidv_transactionid, invoice_bidv_transactionid_huy, version"
"no_backup","tb_invoice_bidv_transaction","invoice_bidv_transactionid, ngaythuchien, nguoithuchien, mediboxversion, pcname, pccode, username, ipaddress, patientid, patientrecordid, invoiceid, clientid, requestid, amount, input, output, version"
"no_backup","tb_invoice_bidvqr","invoice_bidvqrid, invoiceid, invoice_transactionid, ngayphathanh, nguoiphathanh, ngaythanhtoan, qrcode, merchantpayment_input, merchantpayment_output, message, huy_ngayphathanh, merchantrefund_input, merchantrefund_output, huy_message, version, invoicemedicineid"
"no_backup","tb_invoice_ehc","invoice_ehcid, invoice_transactionid, invoiceid, invoicemedicineid, token_code, order_code, payment_method_code, amount, ngayphathanh, nguoiphathanh, ngaythanhtoan, qrcode, createorder_input, createorder_output, message, version"
"no_backup","tb_invoice_hdbank_qr","invoice_hdbank_qrid, invoiceid, token_code, order_code, amount, ngayphathanh, nguoiphathanh, ngaythanhtoan, qrcode, message, createorder_input, createorder_output, checkorder_output, merchantpayment_input, merchantpayment_output, version"
"no_backup","tb_invoice_mb","invoice_mbid, invoiceid, invoice_transactionid, invoicemedicineid, merchantpayment_input, merchantpayment_output, token_code, order_code, payment_method_code, amount, ngayphathanh, nguoiphathanh, ngaythanhtoan, qrcode, createorder_input, createorder_output, checkorder_output, message, version"
"no_backup","tb_invoice_mb_vietqr","invoice_mb_vietqrid, invoiceid, invoicemedicineid, token_code, order_code, amount, ngayphathanh, nguoiphathanh, ngaythanhtoan, qrcode, message, version"
"no_backup","tb_invoice_nganluong","invoice_nganluongid, invoiceid, invoicemedicineid, token_code, order_code, payment_method_code, amount, ngayphathanh, nguoiphathanh, ngaythanhtoan, qrcode, createorder_input, createorder_output, message, version"
"no_backup","tb_invoice_shb","invoice_shbid, invoiceid, invoice_transactionid, invoicemedicineid, token_code, order_code, payment_method_code, amount, ngayphathanh, nguoiphathanh, ngaythanhtoan, qrcode, createorder_input, createorder_output, checkorder_output, message, version"
